04/17/2023,06:00,10:30,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681725600,1681741800
04/17/2023,11:20,11:30,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681744800,1681745400
04/17/2023,12:20,12:30,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681748400,1681749000
04/17/2023,13:20,13:30,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681752000,1681752600
04/17/2023,14:20,14:30,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681755600,1681756200
04/17/2023,15:20,22:00,ABE B053,32,ABE,B053,225 S University Street,40.42184583828238,-86.91660228811303,1681759200,1681783200
04/17/2023,06:00,10:30,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681725600,1681741800
04/17/2023,11:20,11:30,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681744800,1681745400
04/17/2023,12:20,14:30,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681748400,1681756200
04/17/2023,15:20,15:30,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681759200,1681759800
04/17/2023,16:20,17:45,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681762800,1681767900
04/17/2023,19:30,22:00,ABE B061,48,ABE,B061,225 S University Street,40.42184583828238,-86.91660228811303,1681774200,1681783200
04/17/2023,06:00,08:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681725600,1681734600
04/17/2023,09:20,09:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681737600,1681738200
04/17/2023,10:20,10:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681741200,1681741800
04/17/2023,11:20,11:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681744800,1681745400
04/17/2023,12:20,12:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681748400,1681749000
04/17/2023,13:20,14:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681752000,1681756200
04/17/2023,15:20,15:30,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681759200,1681759800
04/17/2023,16:20,22:00,ABE B073,80,ABE,B073,225 S University Street,40.42184583828238,-86.91660228811303,1681762800,1681783200
04/17/2023,06:00,09:30,AR 101,50,AR,101,812 3rd Street,40.42816175150221,-86.91620365742548,1681725600,1681738200
04/17/2023,10:20,13:30,AR 101,50,AR,101,812 3rd Street,40.42816175150221,-86.91620365742548,1681741200,1681752600
04/17/2023,14:20,18:30,AR 101,50,AR,101,812 3rd Street,40.42816175150221,-86.91620365742548,1681755600,1681770600
04/17/2023,19:30,22:00,AR 101,50,AR,101,812 3rd Street,40.42816175150221,-86.91620365742548,1681774200,1681783200
04/17/2023,06:00,11:30,AR 102,32,AR,102,812 3rd Street,40.42816175150221,-86.91620365742548,1681725600,1681745400
04/17/2023,12:20,14:00,AR 102,32,AR,102,812 3rd Street,40.42816175150221,-86.91620365742548,1681748400,1681754400
04/17/2023,14:30,22:00,AR 102,32,AR,102,812 3rd Street,40.42816175150221,-86.91620365742548,1681756200,1681783200
04/17/2023,06:00,08:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681725600,1681734600
04/17/2023,09:20,09:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681737600,1681738200
04/17/2023,10:20,10:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681741200,1681741800
04/17/2023,11:20,11:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681744800,1681745400
04/17/2023,12:20,12:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681748400,1681749000
04/17/2023,13:20,13:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681752000,1681752600
04/17/2023,14:20,14:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681755600,1681756200
04/17/2023,15:20,15:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681759200,1681759800
04/17/2023,17:20,19:30,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681766400,1681774200
04/17/2023,21:00,22:00,ARMS 1010,150,ARMS,1010,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681779600,1681783200
04/17/2023,06:00,08:30,ARMS 1021,40,ARMS,1021,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681725600,1681734600
04/17/2023,09:20,09:30,ARMS 1021,40,ARMS,1021,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681737600,1681738200
04/17/2023,10:20,10:30,ARMS 1021,40,ARMS,1021,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681741200,1681741800
04/17/2023,11:15,11:30,ARMS 1021,40,ARMS,1021,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681744500,1681745400
04/17/2023,12:20,13:30,ARMS 1021,40,ARMS,1021,701 W Stadium Avenue,40.43124917866835,-86.91491623044094,1681748400,1681752600
