ECE 49595GT,21673-018,03-27-2023T10:30,03-27-2023T11:20,ME,1009,54,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECE 49595GT,21673-018,03-27-2023T10:30,03-27-2023T11:20,ME,1009,54,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECE 61700,20707-WNG,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECE 61700,20707-WNG,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECE 61700,20707-WNG,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECE 69400,17323-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECET 38001,11172-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECET 38001,11172-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ECET 38001,11172-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ENGR 10301C,21044-004,03-27-2023T10:30,03-27-2023T11:20,ME,2053,32,585 Purdue Mall,40.4283678200671,-86.9129040439333
ENGR 10301C,21044-004,03-27-2023T10:30,03-27-2023T11:20,ME,2053,32,585 Purdue Mall,40.4283678200671,-86.9129040439333
HIST 23800,15930-001,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
HIST 23800,15930-001,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
HIST 23800,15930-001,03-27-2023T10:30,03-27-2023T11:20,ME,1051,50,585 Purdue Mall,40.4283678200671,-86.9129040439333
HIST 38001,15476-001,03-27-2023T10:30,03-27-2023T11:20,ME,1009,54,585 Purdue Mall,40.4283678200671,-86.9129040439333
HIST 38001,15476-001,03-27-2023T10:30,03-27-2023T11:20,ME,1009,54,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 19800,28956-001,03-27-2023T10:30,03-27-2023T11:20,ME,2004,48,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16965-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16965-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16965-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16966-002,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16966-002,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16966-002,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16970-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16970-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16970-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16980-004,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16980-004,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16980-004,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16981-005,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16981-005,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 20000,16981-005,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,14124-157,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,14124-157,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,14134-158,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,14134-158,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,17605-190,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 26300,17605-190,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,13841-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,13841-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,13841-003,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,21463-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,21463-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27000,21463-001,03-27-2023T10:30,03-27-2023T11:20,ME,1130,120,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,14423-006,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,14423-006,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,14423-006,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17019-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17019-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17019-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17020-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17020-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17020-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17021-004,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17021-004,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,17021-004,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,29801-005,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,29801-005,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,29801-005,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,49294-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,49294-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 27400,49294-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 29000,60749-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 29700PM,28168-020,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,29802-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,29802-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,29802-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,33843-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,33843-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30000,33843-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25219-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25219-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25219-001,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25220-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25220-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25220-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25221-003,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25221-003,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 30800,25221-003,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 31500,33797-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 31500,33797-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 31500,33797-002,03-27-2023T10:30,03-27-2023T11:20,ME,2061,96,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,11090-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,11090-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,11090-001,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,14282-003,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,14282-003,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,14282-003,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,17042-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,17042-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 32300,17042-002,03-27-2023T10:30,03-27-2023T11:20,ME,1052,66,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23730-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23730-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23730-001,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23731-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23731-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23731-002,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23733-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23733-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 35400,23733-003,03-27-2023T10:30,03-27-2023T11:20,ME,1061,158,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 36300,24467-008,03-27-2023T10:30,03-27-2023T11:20,ME,3006,40,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 36300,24467-008,03-27-2023T10:30,03-27-2023T11:20,ME,3006,40,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 36300,25498-012,03-27-2023T10:30,03-27-2023T11:20,ME,3006,40,585 Purdue Mall,40.4283678200671,-86.9129040439333
ME 36300,25498-012,03-27-2023T10:30,03-27-2023T11:20,ME,3006,40,585 Purdue Mall,40.4283678200671,-86.9129040439333
